epoch,g_loss,d_loss,val_mse,val_psnr,val_ssim,adv_weight,g_lr,d_lr
95,0.000095,0.000009,0.000107,41.58,0.9246,0.000004,5.90e-05,1.18e-05
96,0.000097,0.000277,0.000108,41.55,0.9245,0.000004,5.82e-05,1.16e-05
97,0.000097,0.000023,0.000108,41.53,0.9242,0.000004,5.74e-05,3.44e-06
98,0.000097,0.000010,0.000108,41.52,0.9242,0.000004,5.65e-05,3.40e-06
99,0.000097,0.000009,0.000108,41.52,0.9242,0.000004,5.57e-05,3.35e-06
100,0.000097,0.000008,0.000109,41.49,0.9239,0.000005,5.49e-05,3.30e-06
101,0.000097,0.000008,0.000108,41.53,0.9245,0.000005,5.41e-05,3.25e-06
102,0.000097,0.000008,0.000107,41.56,0.9249,0.000005,5.33e-05,3.20e-06
103,0.000096,0.000008,0.000106,41.60,0.9253,0.000005,5.24e-05,3.15e-06
104,0.000096,0.000007,0.000107,41.59,0.9254,0.000005,5.16e-05,3.10e-06
105,0.000096,0.000007,0.000107,41.56,0.9252,0.000006,5.08e-05,3.05e-06
106,0.000096,0.000007,0.000107,41.56,0.9253,0.000006,4.99e-05,3.00e-06
107,0.000096,0.000007,0.000107,41.57,0.9254,0.000006,4.91e-05,2.95e-06
108,0.000096,0.000007,0.000107,41.57,0.9253,0.000007,4.83e-05,2.90e-06
109,0.000096,0.000007,0.000108,41.56,0.9252,0.000007,4.75e-05,2.85e-06
110,0.000096,0.000006,0.000108,41.56,0.9251,0.000007,4.66e-05,2.80e-06
111,0.000096,0.000006,0.000108,41.53,0.9247,0.000007,4.58e-05,2.75e-06
112,0.000096,0.000006,0.000108,41.56,0.9252,0.000008,4.50e-05,2.70e-06
113,0.000095,0.000006,0.000108,41.55,0.9253,0.000008,4.42e-05,2.65e-06
114,0.000095,0.000006,0.000107,41.57,0.9255,0.000008,4.33e-05,2.60e-06
115,0.000095,0.000006,0.000107,41.57,0.9254,0.000009,4.25e-05,2.56e-06
116,0.000095,0.000006,0.000108,41.56,0.9252,0.000009,4.17e-05,2.51e-06
117,0.000095,0.000006,0.000108,41.53,0.9247,0.000010,4.09e-05,2.46e-06
118,0.000095,0.000006,0.000109,41.50,0.9242,0.000010,4.01e-05,2.41e-06
119,0.000095,0.000005,0.000110,41.45,0.9234,0.000010,3.93e-05,2.36e-06
120,0.000095,0.000005,0.000110,41.48,0.9238,0.000011,3.84e-05,2.31e-06
121,0.000095,0.000005,0.000111,41.42,0.9231,0.000011,3.76e-05,2.26e-06
122,0.000095,0.000005,0.000111,41.44,0.9234,0.000012,3.68e-05,2.22e-06
123,0.000096,0.000005,0.000110,41.46,0.9238,0.000012,3.60e-05,2.17e-06
124,0.000096,0.000005,0.000110,41.46,0.9237,0.000013,3.52e-05,2.12e-06
125,0.000096,0.000005,0.000110,41.47,0.9241,0.000013,3.45e-05,2.07e-06
126,0.000096,0.000005,0.000109,41.50,0.9246,0.000014,3.37e-05,2.03e-06
127,0.000097,0.000005,0.000108,41.55,0.9255,0.000015,3.29e-05,1.98e-06
128,0.000097,0.000004,0.000106,41.61,0.9264,0.000015,3.21e-05,1.93e-06
129,0.000097,0.000004,0.000106,41.64,0.9269,0.000016,3.13e-05,1.89e-06
130,0.000097,0.000004,0.000105,41.67,0.9272,0.000016,3.06e-05,1.84e-06
131,0.000097,0.000004,0.000105,41.68,0.9274,0.000017,2.98e-05,1.79e-06
132,0.000097,0.000004,0.000104,41.69,0.9276,0.000018,2.91e-05,1.75e-06
133,0.000098,0.000004,0.000105,41.69,0.9275,0.000018,2.83e-05,1.70e-06
134,0.000098,0.000004,0.000105,41.68,0.9274,0.000019,2.76e-05,1.66e-06
135,0.000098,0.000004,0.000105,41.67,0.9274,0.000020,2.68e-05,1.62e-06
136,0.000099,0.000004,0.000106,41.65,0.9270,0.000021,2.61e-05,1.57e-06
137,0.000099,0.000004,0.000106,41.63,0.9269,0.000021,2.54e-05,1.53e-06
138,0.000100,0.000004,0.000106,41.65,0.9270,0.000022,2.47e-05,1.49e-06
139,0.000100,0.000004,0.000106,41.64,0.9271,0.000023,2.39e-05,1.44e-06
140,0.000101,0.000004,0.000105,41.66,0.9274,0.000024,2.32e-05,1.40e-06
141,0.000101,0.000004,0.000105,41.68,0.9276,0.000025,2.25e-05,1.36e-06
142,0.000102,0.000004,0.000104,41.70,0.9279,0.000026,2.19e-05,1.32e-06
143,0.000102,0.000004,0.000104,41.71,0.9279,0.000027,2.12e-05,1.28e-06
144,0.000103,0.000004,0.000104,41.72,0.9280,0.000028,2.05e-05,1.24e-06
145,0.000103,0.000003,0.000104,41.71,0.9280,0.000029,1.98e-05,1.20e-06
146,0.000104,0.000004,0.000104,41.72,0.9281,0.000030,1.92e-05,1.16e-06
147,0.000105,0.000004,0.000104,41.72,0.9281,0.000031,1.85e-05,1.12e-06
148,0.000105,0.000004,0.000104,41.70,0.9280,0.000032,1.79e-05,1.08e-06
149,0.000106,0.000003,0.000104,41.70,0.9279,0.000033,1.73e-05,1.04e-06
150,0.000107,0.000003,0.000105,41.69,0.9278,0.000034,1.66e-05,1.00e-06
151,0.000108,0.000003,0.000105,41.67,0.9276,0.000036,1.60e-05,9.68e-07
152,0.000108,0.000003,0.000105,41.68,0.9277,0.000037,1.54e-05,9.32e-07
153,0.000109,0.000003,0.000105,41.69,0.9279,0.000038,1.48e-05,8.96e-07
154,0.000110,0.000003,0.000104,41.70,0.9281,0.000040,1.42e-05,8.61e-07
